subject_id,G1,G2,G3,G4,n_epochs,vinuss_acc,proxy_acc,vinuss_gain
A2019-EM-01-0111,410,53,382,108,953,0.8310598111227702,0.4564533053515215,357
A2020-EM-01-0210,323,25,530,17,895,0.9530726256983241,0.6201117318435754,298
A2020-EM-01-0184,391,110,396,61,958,0.8215031315240083,0.5281837160751566,281
A2021-EM-01-0117,304,27,344,152,827,0.7835550181378477,0.4486094316807739,277
A2020-EM-01-0245,290,29,431,101,851,0.8472385428907168,0.5405405405405406,261
A2019-EM-01-0074,272,12,349,147,780,0.7961538461538461,0.46282051282051284,260
A2020-EM-01-0213,317,62,507,69,955,0.86282722513089,0.5958115183246073,255
A2020-EM-01-0090,281,26,545,80,932,0.8862660944206009,0.6126609442060086,255
A2020-EM-01-0001,322,77,361,100,860,0.7941860465116279,0.5093023255813953,245
A2019-EM-01-0189,343,98,359,38,838,0.837708830548926,0.545346062052506,245
A2021-EM-01-0130,295,59,346,65,765,0.8379084967320262,0.5294117647058824,236
A2021-EM-01-0124,309,76,371,111,867,0.7843137254901961,0.5155709342560554,233
A2021-EM-01-0093,268,40,398,28,734,0.9073569482288828,0.5967302452316077,228
A2020-EM-01-0038,280,58,405,122,865,0.791907514450867,0.5352601156069364,222
A2020-EM-01-0027,285,65,427,146,923,0.771397616468039,0.5330444203683641,220
A2021-EM-01-0056,254,46,416,129,845,0.7928994082840237,0.5467455621301776,208
A2020-EM-01-0197,220,24,548,105,897,0.8561872909698997,0.6376811594202898,196
A2020-EM-01-0252,233,41,345,97,716,0.8072625698324022,0.5391061452513967,192
A2020-EM-01-0187,228,39,514,57,838,0.8854415274463007,0.6599045346062052,189
A2019-EM-01-0217,244,56,411,111,822,0.7968369829683698,0.5681265206812652,188
A2020-EM-01-0060,240,54,394,66,754,0.8408488063660478,0.5941644562334217,186
A2021-EM-01-0025,219,34,533,46,832,0.9038461538461539,0.6814903846153846,185
A2020-EM-01-0086,220,36,428,84,768,0.84375,0.6041666666666666,184
A2020-EM-01-0266,249,66,404,131,850,0.768235294117647,0.5529411764705883,183
A2019-EM-01-0244,220,39,429,105,793,0.8184110970996217,0.5901639344262295,181
A2019-EM-01-0107,216,36,517,45,814,0.9004914004914005,0.6793611793611793,180
A2020-EM-01-0251,239,60,389,110,798,0.7869674185463659,0.5626566416040101,179
A2019-EM-01-0063,227,49,458,306,1040,0.6586538461538461,0.4875,178
A2020-EM-01-0020,238,62,380,123,803,0.7696139476961394,0.5504358655043586,176
A2021-EM-01-0112,236,62,479,36,813,0.8794587945879458,0.6654366543665436,174
